calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
CALLE DE ATOCHA NUM,62,40.4147581,-3.7054213,2018/6866,0,0,1,0,0
CALLE DE ATOCHA NUM,90,40.4147581,-3.7054213,2018/13256,0,1,2,0,0
CALLE DE ATOCHA NUM,96,40.4147581,-3.7054213,2018/11986,0,1,1,0,0
CALLE DE AUGUSTO FIGUEROA - CALLE DE BARQUILLO,0,40.4219313,-3.6956598,2018/15135,0,2,1,0,0
CALLE DE AUGUSTO FIGUEROA - CALLE DE BARQUILLO,0,40.4219313,-3.6956598,2018/2866,0,3,1,0,0
CALLE DE AUGUSTO FIGUEROA NUM,39,40.4221296,-3.6970817,2018/10862,0,0,2,0,0
CALLE DE AUGUSTOBRIGA - CALLE DE GRAZIA DELEDDA,0,40.3577502,-3.6834915,2018/13820,1,0,2,0,0
CALLE DE AUGUSTOBRIGA - CARRETERA DE VILLAVERDE A VALLECAS,0,40.3595523,-3.6831526,2018/1817,0,1,1,0,0
CALLE DE AUSTRIA - PASEO DE GINEBRA,0,40.4254296,-3.6074762,2018/2446,0,2,1,0,0
CALLE DE AVE MARIA NUM,32,40.4103856,-3.7010632,2018/4361,0,3,1,0,0
CALLE DE AVILA - CALLE DE BRAVO MURILLO,0,40.4528612,-3.7030822,2018/4543,0,3,1,0,0
CALLE DE AVILA - CALLE DE BRAVO MURILLO,0,40.4528612,-3.7030822,2018/5037,0,1,1,0,0
CALLE DE AVILA - CALLE DE BRAVO MURILLO,0,40.4528612,-3.7030822,2018/9943,0,3,2,0,0
CALLE DE AVILA - CALLE DE LERIDA,0,40.4527331,-3.7011453,2018/1781,0,1,1,0,0
CALLE DE AYACUCHO - CALLE DE MAR ADRIATICO,0,40.4698608,-3.6386607,2018/15881,0,3,1,0,0
CALLE DE AYACUCHO - CALLE DE MAR ADRIATICO,0,40.4698608,-3.6386607,2018/2317,0,1,1,0,0
CALLE DE AYACUCHO - GLORIETA DE SANDRO PERTINI,0,40.47004,-3.64193,2018/13818,0,2,1,0,0
CALLE DE AYACUCHO - GLORIETA DE SANDRO PERTINI,0,40.47004,-3.64193,2018/5825,0,5,2,0,0
CALLE DE AYACUCHO - GLORIETA DEL MAR DE CRISTAL,0,40.4694294,-3.6382998,2018/3582,0,0,5,0,0
CALLE DE AYACUCHO - GLORIETA DEL RIO URUBAMBA,0,40.4698019,-3.6377664,2018/16625,0,3,0,1,0
CALLE DE AYACUCHO NUM,2,40.4697558,-3.6413336,2018/1939,0,1,1,0,0
CALLE DE AYALA - CALLE DE CLAUDIO COELLO,0,40.4278245,-3.686210899999999,2018/7742,0,2,1,0,0
CALLE DE AYALA - CALLE DE NUÑEZ DE BALBOA,0,40.427645,-3.682565,2018/4702,0,3,2,0,0
CALLE DE AYALA - CALLE DE SERRANO,0,40.4278753,-3.6874097,2018/15733,0,1,1,0,0
CALLE DE AYALA - CALLE DE SERRANO,0,40.4278753,-3.6874097,2018/2436,0,1,3,0,0
CALLE DE AYALA - CALLE DE SERRANO,0,40.4278753,-3.6874097,2018/6788,0,1,1,0,0
