FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2003,Madrid,M,"B,B+E",0,0,0,16,29,13,1,0,59
11/03/2019,2003,Madrid,M,"B,B+E,A,A2",0,0,0,2,3,2,0,0,7
11/03/2019,2003,Madrid,M,"B,B+E,A1",0,0,0,2,0,0,0,0,2
11/03/2019,2003,Madrid,M,BTP,0,0,0,1,6,4,0,0,11
11/03/2019,2003,Madrid,M,C,0,0,0,9,6,3,0,0,18
11/03/2019,2003,Madrid,M,"C,A,A2",0,0,0,1,3,0,0,0,4
11/03/2019,2003,Madrid,M,"C,A1",0,0,0,0,2,0,0,0,2
11/03/2019,2003,Madrid,M,"C,C+E",0,0,0,1,1,1,0,0,3
11/03/2019,2003,Madrid,M,"C,C+E,A,A2",0,0,0,0,2,1,0,0,3
11/03/2019,2003,Madrid,M,C1,0,0,0,0,1,0,0,0,1
11/03/2019,2003,Madrid,M,D ,0,0,0,4,9,5,0,0,18
11/03/2019,2003,Madrid,M,"D,A,A2",0,0,0,2,1,2,0,0,5
11/03/2019,2003,Madrid,M,"D,D+E",0,0,0,1,1,1,0,0,3
11/03/2019,2003,Madrid,M,"D,D+E,A,A2",0,0,0,0,2,0,0,0,2
11/03/2019,2003,Madrid,M,Otros,0,0,317,807,153,24,7,0,1308
11/03/2019,2003,Madrid,V,A,0,0,0,0,1,0,0,0,1
11/03/2019,2003,Madrid,V,AM,0,0,26,41,23,12,1,1,104
11/03/2019,2003,Madrid,V,B,0,0,2.644,7.017,1.780,652,163,24,12280
11/03/2019,2003,Madrid,V,"B,A,A2",0,0,8,927,612,135,30,1,1713
11/03/2019,2003,Madrid,V,"B,A1",0,0,53,71,91,33,10,0,258
11/03/2019,2003,Madrid,V,"B,B+E",0,0,2,187,287,180,44,1,701
11/03/2019,2003,Madrid,V,"B,B+E,A,A2",0,0,0,32,29,20,5,1,87
11/03/2019,2003,Madrid,V,"B,B+E,A1",0,0,0,2,2,1,6,0,11
11/03/2019,2003,Madrid,V,BTP,0,0,0,9,18,15,2,0,44
11/03/2019,2003,Madrid,V,C,0,0,1,100,90,52,5,0,248
11/03/2019,2003,Madrid,V,"C,A,A2",0,0,0,43,39,10,1,0,93
11/03/2019,2003,Madrid,V,"C,A1",0,0,0,2,1,2,0,0,5
11/03/2019,2003,Madrid,V,"C,B+E",0,0,0,1,3,0,0,0,4
11/03/2019,2003,Madrid,V,"C,C+E",0,0,4,39,43,19,2,0,107
11/03/2019,2003,Madrid,V,"C,C+E,A,A2",0,0,1,18,21,8,0,0,48
11/03/2019,2003,Madrid,V,"C1,A,A2",0,0,0,3,5,2,0,0,10
11/03/2019,2003,Madrid,V,"C1,A1",0,0,0,0,1,2,0,0,3
11/03/2019,2003,Madrid,V,"C1,C1+E",0,0,0,0,2,0,0,0,2
11/03/2019,2003,Madrid,V,"C1,C1+E,A,",0,0,0,0,4,0,0,0,4
11/03/2019,2003,Madrid,V,D ,0,0,0,24,42,17,0,0,83
11/03/2019,2003,Madrid,V,"D,A,A2",0,0,0,27,18,7,0,0,52
11/03/2019,2003,Madrid,V,"D,A1",0,0,0,1,0,0,0,0,1
11/03/2019,2003,Madrid,V,"D,B+E",0,0,0,1,0,0,0,0,1
11/03/2019,2003,Madrid,V,"D,B+E,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2003,Madrid,V,"D,D+E",0,0,0,22,25,15,1,0,63
11/03/2019,2003,Madrid,V,"D,D+E,A,A2",0,0,0,40,39,20,3,0,102
11/03/2019,2003,Madrid,V,"D1,D1+E",0,0,0,2,1,0,0,0,3
11/03/2019,2003,Madrid,V,Otros,0,0,561,1.420,306,61,12,0,2360
11/03/2019,2004,Madrid,M,A1,0,0,0,0,1,0,0,0,1
11/03/2019,2004,Madrid,M,AM,0,0,12,9,7,7,5,1,41
11/03/2019,2004,Madrid,M,B,0,0,4.892,9.461,2.861,957,211,24,18406
11/03/2019,2004,Madrid,M,"B,A,A2",0,0,1,150,90,16,4,0,261
11/03/2019,2004,Madrid,M,"B,A1",0,0,36,37,27,5,0,0,105
11/03/2019,2004,Madrid,M,"B,B+E",0,0,1,54,116,74,8,1,254
11/03/2019,2004,Madrid,M,"B,B+E,A,A2",0,0,0,0,1,0,0,0,1
11/03/2019,2004,Madrid,M,"B,B+E,A1",0,0,0,0,0,0,1,0,1
11/03/2019,2004,Madrid,M,BTP,0,0,0,10,30,9,0,0,49
11/03/2019,2004,Madrid,M,C,0,0,0,8,10,1,0,0,19
11/03/2019,2004,Madrid,M,"C,A,A2",0,0,0,4,3,3,0,0,10
11/03/2019,2004,Madrid,M,"C,B+E",0,0,0,0,3,2,0,0,5
11/03/2019,2004,Madrid,M,"C,C+E",0,0,0,1,1,1,0,0,3
11/03/2019,2004,Madrid,M,"C,C+E,A,A2",0,0,0,3,0,0,0,0,3
11/03/2019,2004,Madrid,M,C1,0,0,0,0,3,0,0,0,3
11/03/2019,2004,Madrid,M,"C1,B+E",0,0,0,1,0,0,0,0,1
11/03/2019,2004,Madrid,M,D ,0,0,0,8,11,7,1,0,27
11/03/2019,2004,Madrid,M,"D,A,A2",0,0,0,2,2,0,0,0,4
11/03/2019,2004,Madrid,M,"D,B+E",0,0,0,0,1,0,0,0,1
11/03/2019,2004,Madrid,M,"D,D+E",0,0,0,2,3,0,0,0,5
11/03/2019,2004,Madrid,M,"D,D+E,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2004,Madrid,M,Otros,0,0,498,620,172,24,3,0,1317
11/03/2019,2004,Madrid,V,A,0,0,0,1,2,1,0,0,4
11/03/2019,2004,Madrid,V,A1,0,0,0,0,1,1,0,0,2
11/03/2019,2004,Madrid,V,AM,0,0,44,30,21,15,2,1,113
11/03/2019,2004,Madrid,V,B,0,0,4.016,6.361,3.167,1.477,335,41,15397
11/03/2019,2004,Madrid,V,"B,A,A2",0,0,19,1.096,638,135,22,3,1913
11/03/2019,2004,Madrid,V,"B,A1",0,0,59,79,54,22,9,1,224
11/03/2019,2004,Madrid,V,"B,B+E",0,0,7,493,943,564,118,12,2137
11/03/2019,2004,Madrid,V,"B,B+E,A,A2",0,0,0,30,29,26,10,1,96
11/03/2019,2004,Madrid,V,"B,B+E,A1",0,0,0,0,2,1,0,1,4
11/03/2019,2004,Madrid,V,BTP,0,0,5,59,82,28,5,0,179
11/03/2019,2004,Madrid,V,C,0,0,1,109,116,31,2,0,259
11/03/2019,2004,Madrid,V,"C,A,A2",0,0,0,75,57,21,2,1,156
11/03/2019,2004,Madrid,V,"C,A1",0,0,0,1,3,0,0,0,4
11/03/2019,2004,Madrid,V,"C,B+E",0,0,0,21,48,24,0,0,93
